searches_density num_searches time min
1.000000 10000 5 -32407
1.000000 10000 1 -32407
1.000000 10000 2 -32407
1.000000 10000 1 -32407
1.000000 10000 1 -32407
1.000000 62500 12 -41436
1.000000 62500 8 -41436
1.000000 62500 6 -41436
1.000000 62500 5 -41436
1.000000 62500 6 -41436
1.000000 250000 24 -44848
1.000000 250000 31 -44848
1.000000 250000 22 -44848
1.000000 250000 21 -44848
1.000000 250000 23 -44848
1.000000 562500 51 -61031
1.000000 562500 49 -61031
1.000000 562500 69 -61031
1.000000 562500 55 -61031
1.000000 562500 60 -61031
1.000000 1000000 103 -60853
1.000000 1000000 107 -60853
1.000000 1000000 107 -60853
1.000000 1000000 114 -60853
1.000000 1000000 102 -60853
1.000000 1562500 176 -53015
1.000000 1562500 173 -53015
1.000000 1562500 174 -53015
1.000000 1562500 186 -53015
1.000000 1562500 171 -53015
1.000000 2250000 255 -61031
1.000000 2250000 257 -61031
1.000000 2250000 257 -61031
1.000000 2250000 267 -61031
1.000000 2250000 259 -61031
1.000000 4000000 508 -60854
1.000000 4000000 536 -60854
1.000000 4000000 531 -60854
1.000000 4000000 509 -60854
1.000000 4000000 487 -60854
1.000000 6250000 805 -77492
1.000000 6250000 972 -77492
1.000000 6250000 911 -77492
1.000000 6250000 874 -77492
1.000000 6250000 881 -77492
1.000000 9000000 1257 -61031
1.000000 9000000 1253 -61031
1.000000 9000000 1146 -61031
1.000000 9000000 1190 -61031
1.000000 9000000 1166 -61031
1.000000 12250000 1560 -79799
1.000000 12250000 1520 -79799
1.000000 12250000 1625 -79799
1.000000 12250000 1532 -79799
1.000000 12250000 1779 -79799
1.000000 16000000 2110 -68053
1.000000 16000000 2630 -68053
1.000000 16000000 3014 -68053
1.000000 16000000 2880 -68053
1.000000 16000000 2213 -68053
1.000000 20250000 2736 -71666
1.000000 20250000 2761 -71666
1.000000 20250000 2626 -71666
1.000000 20250000 2674 -71666
1.000000 20250000 2859 -71666
1.000000 25000000 3456 -77492
1.000000 25000000 3376 -77492
1.000000 25000000 3323 -77492
1.000000 25000000 3223 -77492
1.000000 25000000 3378 -77492
1.000000 30250000 5371 -68634
1.000000 30250000 4649 -68634
1.000000 30250000 4741 -68634
1.000000 30250000 4291 -68634
1.000000 30250000 3988 -68634
1.000000 36000000 4823 -108181
1.000000 36000000 4961 -108181
1.000000 36000000 4878 -108181
1.000000 36000000 4736 -108181
1.000000 36000000 4921 -108181
1.000000 10000 1 -32407
1.000000 10000 1 -32407
1.000000 10000 2 -32407
1.000000 10000 1 -32407
1.000000 10000 1 -32407
0.700000 43750 10 -41436
0.700000 43750 5 -41436
0.700000 43750 7 -41436
0.700000 43750 5 -41436
0.700000 43750 7 -41436
0.700000 175000 38 -44848
0.700000 175000 21 -44848
0.700000 175000 23 -44848
0.700000 175000 22 -44848
0.700000 175000 22 -44848
0.700000 393750 57 -61031
0.700000 393750 56 -61031
0.700000 393750 52 -61031
0.700000 393750 54 -61031
0.700000 393750 60 -61031
0.700000 700000 108 -60853
0.700000 700000 94 -60853
0.700000 700000 101 -60853
0.700000 700000 116 -60853
0.700000 700000 101 -60853
0.700000 1093750 164 -53015
0.700000 1093750 163 -53015
0.700000 1093750 163 -53015
0.700000 1093750 164 -53015
0.700000 1093750 172 -53015
0.700000 1575000 244 -61031
0.700000 1575000 244 -61031
0.700000 1575000 249 -61031
0.700000 1575000 240 -61031
0.700000 1575000 241 -61031
0.700000 2800000 467 -60854
0.700000 2800000 444 -60854
0.700000 2800000 468 -60854
0.700000 2800000 452 -60854
0.700000 2800000 449 -60854
0.700000 4375000 723 -77492
0.700000 4375000 754 -77492
0.700000 4375000 705 -77492
0.700000 4375000 730 -77492
0.700000 4375000 708 -77492
0.700000 6300000 1075 -61031
0.700000 6300000 1008 -61031
0.700000 6300000 1118 -61031
0.700000 6300000 1052 -61031
0.700000 6300000 1008 -61031
0.700000 8575000 1418 -79799
0.700000 8575000 1557 -79799
0.700000 8575000 1379 -79799
0.700000 8575000 1413 -79799
0.700000 8575000 1510 -79799
0.700000 11200000 1854 -68053
0.700000 11200000 1838 -68053
0.700000 11200000 1865 -68053
0.700000 11200000 1863 -68053
0.700000 11200000 1852 -68053
0.700000 14175000 2345 -71666
0.700000 14175000 2468 -71666
0.700000 14175000 2820 -71666
0.700000 14175000 2619 -71666
0.700000 14175000 2681 -71666
0.700000 17500000 3290 -77492
0.700000 17500000 3060 -77492
0.700000 17500000 2970 -77492
0.700000 17500000 2917 -77492
0.700000 17500000 3160 -77492
0.700000 21175000 4010 -68634
0.700000 21175000 4103 -68634
0.700000 21175000 3985 -68634
0.700000 21175000 4019 -68634
0.700000 21175000 4091 -68634
0.700000 25200000 5069 -108181
0.700000 25200000 5370 -108181
0.700000 25200000 4686 -108181
0.700000 25200000 4767 -108181
0.700000 25200000 4785 -108181
0.400000 4000 1 -32407
0.400000 4000 1 -32407
0.400000 4000 0 -32407
0.400000 4000 1 -32407
0.400000 4000 1 -32407
0.400000 25000 5 -41436
0.400000 25000 5 -41436
0.400000 25000 5 -41436
0.400000 25000 5 -41436
0.400000 25000 4 -41436
0.400000 100000 24 -44848
0.400000 100000 30 -44848
0.400000 100000 28 -44848
0.400000 100000 26 -44848
0.400000 100000 22 -44848
0.400000 225000 55 -61031
0.400000 225000 62 -61031
0.400000 225000 62 -61031
0.400000 225000 69 -61031
0.400000 225000 61 -61031
0.400000 400000 120 -60853
0.400000 400000 112 -60853
0.400000 400000 135 -60853
0.400000 400000 105 -60853
0.400000 400000 118 -60853
0.400000 625000 194 -53015
0.400000 625000 198 -53015
0.400000 625000 180 -53015
0.400000 625000 197 -53015
0.400000 625000 191 -53015
0.400000 900000 245 -61031
0.400000 900000 242 -61031
0.400000 900000 240 -61031
0.400000 900000 254 -61031
0.400000 900000 283 -61031
0.400000 1600000 426 -60854
0.400000 1600000 442 -60854
0.400000 1600000 422 -60854
0.400000 1600000 448 -60854
0.400000 1600000 469 -60854
0.400000 2500000 747 -77492
0.400000 2500000 713 -77492
0.400000 2500000 803 -77492
0.400000 2500000 682 -77492
0.400000 2500000 703 -77492
0.400000 3600000 1003 -61031
0.400000 3600000 1104 -61031
0.400000 3600000 1091 -61031
0.400000 3600000 1085 -61031
0.400000 3600000 1181 -61031
0.400000 4900000 1595 -79799
0.400000 4900000 1680 -79799
0.400000 4900000 1795 -79799
0.400000 4900000 1454 -79799
0.400000 4900000 1484 -79799
0.400000 6400000 1943 -68053
0.400000 6400000 2058 -68053
0.400000 6400000 1927 -68053
0.400000 6400000 1990 -68053
0.400000 6400000 1888 -68053
0.400000 8100000 2319 -71666
0.400000 8100000 2457 -71666
0.400000 8100000 2340 -71666
0.400000 8100000 2428 -71666
0.400000 8100000 2392 -71666
0.400000 10000000 3050 -77492
0.400000 10000000 2971 -77492
0.400000 10000000 2984 -77492
0.400000 10000000 3059 -77492
0.400000 10000000 2884 -77492
0.400000 12100000 3703 -68634
0.400000 12100000 3847 -68634
0.400000 12100000 3988 -68634
0.400000 12100000 3821 -68634
0.400000 12100000 3794 -68634
 1.000000 10000 7 -32407
 1.000000 10000 2 -32407
 1.000000 10000 2 -32407
 1.000000 10000 2 -32407
 1.000000 10000 4 -32407
 1.000000 62500 8 -41436
 1.000000 62500 10 -41436
 1.000000 62500 10 -41436
 1.000000 62500 12 -41436
